index,event_id,start_time,asset_name,manual_event_type,input_event_csv_filename,vab_flickers,vab_harmonics,vab_interruptions,vab_interruptions_harmonics,vab_osc_transients,vab_sags,vab_sags_harmonics,vab_spikes,vab_swells,vab_swells_harmonics,vbc_flickers,vbc_harmonics,vbc_interruptions,vbc_interruptions_harmonics,vbc_osc_transients,vbc_sags,vbc_sags_harmonics,vbc_spikes,vbc_swells,vbc_swells_harmonics,vca_flickers,vca_harmonics,vca_interruptions,vca_interruptions_harmonics,vca_osc_transients,vca_sags,vca_sags_harmonics,vca_spikes,vca_swells,vca_swells_harmonics,ia_flickers,ia_harmonics,ia_interruptions,ia_interruptions_harmonics,ia_osc_transients,ia_sags,ia_sags_harmonics,ia_spikes,ia_swells,ia_swells_harmonics,ib_flickers,ib_harmonics,ib_interruptions,ib_interruptions_harmonics,ib_osc_transients,ib_sags,ib_sags_harmonics,ib_spikes,ib_swells,ib_swells_harmonics,ic_flickers,ic_harmonics,ic_interruptions,ic_interruptions_harmonics,ic_osc_transients,ic_sags,ic_sags_harmonics,ic_spikes,ic_swells,ic_swells_harmonics
10,event_010,2022_06_28,test_010,test_label,input_event_sample010,7.99E-10,1.96E-09,9.16E-05,4.07E-08,0.00021417,9.28E-09,5.93E-10,0.99931765,0.000375074,1.39E-06,7.99E-10,1.96E-09,9.16E-05,4.07E-08,0.00021417,9.28E-09,5.93E-10,0.99931765,0.000375074,1.39E-06,7.99E-10,1.96E-09,9.16E-05,4.07E-08,0.00021417,9.28E-09,5.93E-10,0.99931765,0.000375074,1.39E-06,7.99E-10,1.96E-09,9.16E-05,4.07E-08,0.00021417,9.28E-09,5.93E-10,0.99931765,0.000375074,1.39E-06,7.99E-10,1.96E-09,9.16E-05,4.07E-08,0.00021417,9.28E-09,5.93E-10,0.99931765,0.000375074,1.39E-06,7.99E-10,1.96E-09,9.16E-05,4.07E-08,0.00021417,9.28E-09,5.93E-10,0.99931765,0.000375074,1.39E-06
11,event_011,2022_06_28,test_011,test_label,input_event_sample011,3.01E-10,1.86E-15,7.25E-07,4.83E-12,9.27E-05,0.99990654,2.33E-09,9.80E-15,1.33E-15,1.85E-14,3.01E-10,1.86E-15,7.25E-07,4.83E-12,9.27E-05,0.99990654,2.33E-09,9.80E-15,1.33E-15,1.85E-14,3.01E-10,1.86E-15,7.25E-07,4.83E-12,9.27E-05,0.99990654,2.33E-09,9.80E-15,1.33E-15,1.85E-14,3.01E-10,1.86E-15,7.25E-07,4.83E-12,9.27E-05,0.99990654,2.33E-09,9.80E-15,1.33E-15,1.85E-14,3.01E-10,1.86E-15,7.25E-07,4.83E-12,9.27E-05,0.99990654,2.33E-09,9.80E-15,1.33E-15,1.85E-14,3.01E-10,1.86E-15,7.25E-07,4.83E-12,9.27E-05,0.99990654,2.33E-09,9.80E-15,1.33E-15,1.85E-14
12,event_012,2022_06_28,test_012,test_label,input_event_sample012,2.17E-23,2.84E-33,4.98E-17,2.51E-16,1,2.15E-27,6.11E-25,3.72E-18,3.97E-10,2.02E-10,2.17E-23,2.84E-33,4.98E-17,2.51E-16,1,2.15E-27,6.11E-25,3.72E-18,3.97E-10,2.02E-10,2.17E-23,2.84E-33,4.98E-17,2.51E-16,1,2.15E-27,6.11E-25,3.72E-18,3.97E-10,2.02E-10,2.17E-23,2.84E-33,4.98E-17,2.51E-16,1,2.15E-27,6.11E-25,3.72E-18,3.97E-10,2.02E-10,2.17E-23,2.84E-33,4.98E-17,2.51E-16,1,2.15E-27,6.11E-25,3.72E-18,3.97E-10,2.02E-10,2.17E-23,2.84E-33,4.98E-17,2.51E-16,1,2.15E-27,6.11E-25,3.72E-18,3.97E-10,2.02E-10
13,event_013,2022_06_28,test_013,test_label,input_event_sample013,2.15E-12,4.47E-08,1.99E-08,0.9999869,1.74E-08,1.63E-12,1.31E-05,9.70E-14,1.51E-13,5.88E-08,2.15E-12,4.47E-08,1.99E-08,0.9999869,1.74E-08,1.63E-12,1.31E-05,9.70E-14,1.51E-13,5.88E-08,2.15E-12,4.47E-08,1.99E-08,0.9999869,1.74E-08,1.63E-12,1.31E-05,9.70E-14,1.51E-13,5.88E-08,2.15E-12,4.47E-08,1.99E-08,0.9999869,1.74E-08,1.63E-12,1.31E-05,9.70E-14,1.51E-13,5.88E-08,2.15E-12,4.47E-08,1.99E-08,0.9999869,1.74E-08,1.63E-12,1.31E-05,9.70E-14,1.51E-13,5.88E-08,2.15E-12,4.47E-08,1.99E-08,0.9999869,1.74E-08,1.63E-12,1.31E-05,9.70E-14,1.51E-13,5.88E-08
14,event_014,2022_06_28,test_014,test_label,input_event_sample014,1.34E-10,0.000729544,1.92E-12,0.000105378,4.98E-05,1.21E-15,5.28E-06,4.79E-05,6.53E-05,0.9989969,1.34E-10,0.000729544,1.92E-12,0.000105378,4.98E-05,1.21E-15,5.28E-06,4.79E-05,6.53E-05,0.9989969,1.34E-10,0.000729544,1.92E-12,0.000105378,4.98E-05,1.21E-15,5.28E-06,4.79E-05,6.53E-05,0.9989969,1.34E-10,0.000729544,1.92E-12,0.000105378,4.98E-05,1.21E-15,5.28E-06,4.79E-05,6.53E-05,0.9989969,1.34E-10,0.000729544,1.92E-12,0.000105378,4.98E-05,1.21E-15,5.28E-06,4.79E-05,6.53E-05,0.9989969,1.34E-10,0.000729544,1.92E-12,0.000105378,4.98E-05,1.21E-15,5.28E-06,4.79E-05,6.53E-05,0.9989969
15,event_015,2022_06_28,test_015,test_label,input_event_sample015,0.9999999,1.94E-26,4.94E-26,4.09E-20,8.80E-08,5.40E-19,1.88E-23,8.70E-25,4.56E-11,4.12E-12,0.9999999,1.94E-26,4.94E-26,4.09E-20,8.80E-08,5.40E-19,1.88E-23,8.70E-25,4.56E-11,4.12E-12,0.9999999,1.94E-26,4.94E-26,4.09E-20,8.80E-08,5.40E-19,1.88E-23,8.70E-25,4.56E-11,4.12E-12,0.9999999,1.94E-26,4.94E-26,4.09E-20,8.80E-08,5.40E-19,1.88E-23,8.70E-25,4.56E-11,4.12E-12,0.9999999,1.94E-26,4.94E-26,4.09E-20,8.80E-08,5.40E-19,1.88E-23,8.70E-25,4.56E-11,4.12E-12,0.9999999,1.94E-26,4.94E-26,4.09E-20,8.80E-08,5.40E-19,1.88E-23,8.70E-25,4.56E-11,4.12E-12
16,event_016,2022_06_28,test_016,test_label,input_event_sample016,4.27E-09,1.04E-07,2.28E-10,1.05E-05,4.02E-06,0.000104308,0.9998809,1.18E-11,7.37E-10,6.77E-08,4.27E-09,1.04E-07,2.28E-10,1.05E-05,4.02E-06,0.000104308,0.9998809,1.18E-11,7.37E-10,6.77E-08,4.27E-09,1.04E-07,2.28E-10,1.05E-05,4.02E-06,0.000104308,0.9998809,1.18E-11,7.37E-10,6.77E-08,4.27E-09,1.04E-07,2.28E-10,1.05E-05,4.02E-06,0.000104308,0.9998809,1.18E-11,7.37E-10,6.77E-08,4.27E-09,1.04E-07,2.28E-10,1.05E-05,4.02E-06,0.000104308,0.9998809,1.18E-11,7.37E-10,6.77E-08,4.27E-09,1.04E-07,2.28E-10,1.05E-05,4.02E-06,0.000104308,0.9998809,1.18E-11,7.37E-10,6.77E-08
17,event_017,2022_06_28,test_017,test_label,input_event_sample017,5.71E-13,5.01E-10,5.95E-05,2.15E-07,0.001049412,0.99888736,3.63E-06,1.21E-10,7.13E-13,4.43E-12,5.71E-13,5.01E-10,5.95E-05,2.15E-07,0.001049412,0.99888736,3.63E-06,1.21E-10,7.13E-13,4.43E-12,5.71E-13,5.01E-10,5.95E-05,2.15E-07,0.001049412,0.99888736,3.63E-06,1.21E-10,7.13E-13,4.43E-12,5.71E-13,5.01E-10,5.95E-05,2.15E-07,0.001049412,0.99888736,3.63E-06,1.21E-10,7.13E-13,4.43E-12,5.71E-13,5.01E-10,5.95E-05,2.15E-07,0.001049412,0.99888736,3.63E-06,1.21E-10,7.13E-13,4.43E-12,5.71E-13,5.01E-10,5.95E-05,2.15E-07,0.001049412,0.99888736,3.63E-06,1.21E-10,7.13E-13,4.43E-12
18,event_018,2022_06_28,test_018,test_label,input_event_sample018,1.96E-07,0.99886227,2.58E-07,0.000256967,7.36E-05,2.46E-07,0.000650466,3.26E-05,7.83E-07,0.000122547,1.96E-07,0.99886227,2.58E-07,0.000256967,7.36E-05,2.46E-07,0.000650466,3.26E-05,7.83E-07,0.000122547,1.96E-07,0.99886227,2.58E-07,0.000256967,7.36E-05,2.46E-07,0.000650466,3.26E-05,7.83E-07,0.000122547,1.96E-07,0.99886227,2.58E-07,0.000256967,7.36E-05,2.46E-07,0.000650466,3.26E-05,7.83E-07,0.000122547,1.96E-07,0.99886227,2.58E-07,0.000256967,7.36E-05,2.46E-07,0.000650466,3.26E-05,7.83E-07,0.000122547,1.96E-07,0.99886227,2.58E-07,0.000256967,7.36E-05,2.46E-07,0.000650466,3.26E-05,7.83E-07,0.000122547
19,event_019,2022_06_28,test_019,test_label,input_event_sample019,3.46E-10,2.20E-14,0.007703035,3.14E-08,0.000615783,0.99154633,0.000132692,2.08E-06,1.60E-08,6.71E-12,3.46E-10,2.20E-14,0.007703035,3.14E-08,0.000615783,0.99154633,0.000132692,2.08E-06,1.60E-08,6.71E-12,3.46E-10,2.20E-14,0.007703035,3.14E-08,0.000615783,0.99154633,0.000132692,2.08E-06,1.60E-08,6.71E-12,3.46E-10,2.20E-14,0.007703035,3.14E-08,0.000615783,0.99154633,0.000132692,2.08E-06,1.60E-08,6.71E-12,3.46E-10,2.20E-14,0.007703035,3.14E-08,0.000615783,0.99154633,0.000132692,2.08E-06,1.60E-08,6.71E-12,3.46E-10,2.20E-14,0.007703035,3.14E-08,0.000615783,0.99154633,0.000132692,2.08E-06,1.60E-08,6.71E-12
20,event_020,2022_06_28,test_020,test_label,input_event_sample020,4.15E-13,0.000139337,2.45E-10,0.9998336,3.85E-07,1.18E-12,2.61E-05,3.47E-14,1.40E-14,6.49E-07,4.15E-13,0.000139337,2.45E-10,0.9998336,3.85E-07,1.18E-12,2.61E-05,3.47E-14,1.40E-14,6.49E-07,4.15E-13,0.000139337,2.45E-10,0.9998336,3.85E-07,1.18E-12,2.61E-05,3.47E-14,1.40E-14,6.49E-07,4.15E-13,0.000139337,2.45E-10,0.9998336,3.85E-07,1.18E-12,2.61E-05,3.47E-14,1.40E-14,6.49E-07,4.15E-13,0.000139337,2.45E-10,0.9998336,3.85E-07,1.18E-12,2.61E-05,3.47E-14,1.40E-14,6.49E-07,4.15E-13,0.000139337,2.45E-10,0.9998336,3.85E-07,1.18E-12,2.61E-05,3.47E-14,1.40E-14,6.49E-07
21,event_021,2022_06_28,test_021,test_label,input_event_sample021,0.99982196,7.33E-13,1.39E-11,1.60E-10,0.00012156,1.94E-07,2.87E-12,2.96E-12,5.61E-05,1.44E-07,0.99982196,7.33E-13,1.39E-11,1.60E-10,0.00012156,1.94E-07,2.87E-12,2.96E-12,5.61E-05,1.44E-07,0.99982196,7.33E-13,1.39E-11,1.60E-10,0.00012156,1.94E-07,2.87E-12,2.96E-12,5.61E-05,1.44E-07,0.99982196,7.33E-13,1.39E-11,1.60E-10,0.00012156,1.94E-07,2.87E-12,2.96E-12,5.61E-05,1.44E-07,0.99982196,7.33E-13,1.39E-11,1.60E-10,0.00012156,1.94E-07,2.87E-12,2.96E-12,5.61E-05,1.44E-07,0.99982196,7.33E-13,1.39E-11,1.60E-10,0.00012156,1.94E-07,2.87E-12,2.96E-12,5.61E-05,1.44E-07
22,event_022,2022_06_28,test_022,test_label,input_event_sample022,8.62E-19,5.44E-11,1.16E-19,2.23E-09,1.20E-10,5.24E-15,1,5.43E-22,2.71E-21,4.26E-14,8.62E-19,5.44E-11,1.16E-19,2.23E-09,1.20E-10,5.24E-15,1,5.43E-22,2.71E-21,4.26E-14,8.62E-19,5.44E-11,1.16E-19,2.23E-09,1.20E-10,5.24E-15,1,5.43E-22,2.71E-21,4.26E-14,8.62E-19,5.44E-11,1.16E-19,2.23E-09,1.20E-10,5.24E-15,1,5.43E-22,2.71E-21,4.26E-14,8.62E-19,5.44E-11,1.16E-19,2.23E-09,1.20E-10,5.24E-15,1,5.43E-22,2.71E-21,4.26E-14,8.62E-19,5.44E-11,1.16E-19,2.23E-09,1.20E-10,5.24E-15,1,5.43E-22,2.71E-21,4.26E-14
23,event_023,2022_06_28,test_023,test_label,input_event_sample023,4.80E-09,1.26E-06,0.000577009,1.50E-07,0.000538663,1.88E-06,4.27E-09,0.9988734,6.86E-06,5.85E-07,4.80E-09,1.26E-06,0.000577009,1.50E-07,0.000538663,1.88E-06,4.27E-09,0.9988734,6.86E-06,5.85E-07,4.80E-09,1.26E-06,0.000577009,1.50E-07,0.000538663,1.88E-06,4.27E-09,0.9988734,6.86E-06,5.85E-07,4.80E-09,1.26E-06,0.000577009,1.50E-07,0.000538663,1.88E-06,4.27E-09,0.9988734,6.86E-06,5.85E-07,4.80E-09,1.26E-06,0.000577009,1.50E-07,0.000538663,1.88E-06,4.27E-09,0.9988734,6.86E-06,5.85E-07,4.80E-09,1.26E-06,0.000577009,1.50E-07,0.000538663,1.88E-06,4.27E-09,0.9988734,6.86E-06,5.85E-07
24,event_024,2022_06_28,test_024,test_label,input_event_sample024,3.00E-20,9.33E-15,2.61E-30,3.15E-11,1.60E-08,4.33E-27,1.75E-07,4.13E-25,1.38E-20,0.99999976,3.00E-20,9.33E-15,2.61E-30,3.15E-11,1.60E-08,4.33E-27,1.75E-07,4.13E-25,1.38E-20,0.99999976,3.00E-20,9.33E-15,2.61E-30,3.15E-11,1.60E-08,4.33E-27,1.75E-07,4.13E-25,1.38E-20,0.99999976,3.00E-20,9.33E-15,2.61E-30,3.15E-11,1.60E-08,4.33E-27,1.75E-07,4.13E-25,1.38E-20,0.99999976,3.00E-20,9.33E-15,2.61E-30,3.15E-11,1.60E-08,4.33E-27,1.75E-07,4.13E-25,1.38E-20,0.99999976,3.00E-20,9.33E-15,2.61E-30,3.15E-11,1.60E-08,4.33E-27,1.75E-07,4.13E-25,1.38E-20,0.99999976
25,event_025,2022_06_28,test_025,test_label,input_event_sample025,0.99999905,2.15E-19,9.06E-14,5.45E-15,9.32E-07,1.48E-11,5.38E-11,9.21E-16,5.92E-08,6.12E-13,0.99999905,2.15E-19,9.06E-14,5.45E-15,9.32E-07,1.48E-11,5.38E-11,9.21E-16,5.92E-08,6.12E-13,0.99999905,2.15E-19,9.06E-14,5.45E-15,9.32E-07,1.48E-11,5.38E-11,9.21E-16,5.92E-08,6.12E-13,0.99999905,2.15E-19,9.06E-14,5.45E-15,9.32E-07,1.48E-11,5.38E-11,9.21E-16,5.92E-08,6.12E-13,0.99999905,2.15E-19,9.06E-14,5.45E-15,9.32E-07,1.48E-11,5.38E-11,9.21E-16,5.92E-08,6.12E-13,0.99999905,2.15E-19,9.06E-14,5.45E-15,9.32E-07,1.48E-11,5.38E-11,9.21E-16,5.92E-08,6.12E-13
26,event_026,2022_06_28,test_026,test_label,input_event_sample026,7.24E-14,0.99860436,1.15E-14,0.001393112,5.00E-08,7.09E-13,4.59E-07,6.69E-13,1.89E-13,1.97E-06,7.24E-14,0.99860436,1.15E-14,0.001393112,5.00E-08,7.09E-13,4.59E-07,6.69E-13,1.89E-13,1.97E-06,7.24E-14,0.99860436,1.15E-14,0.001393112,5.00E-08,7.09E-13,4.59E-07,6.69E-13,1.89E-13,1.97E-06,7.24E-14,0.99860436,1.15E-14,0.001393112,5.00E-08,7.09E-13,4.59E-07,6.69E-13,1.89E-13,1.97E-06,7.24E-14,0.99860436,1.15E-14,0.001393112,5.00E-08,7.09E-13,4.59E-07,6.69E-13,1.89E-13,1.97E-06,7.24E-14,0.99860436,1.15E-14,0.001393112,5.00E-08,7.09E-13,4.59E-07,6.69E-13,1.89E-13,1.97E-06
27,event_027,2022_06_28,test_027,test_label,input_event_sample027,0.99990416,5.78E-18,3.60E-20,1.51E-14,9.57E-05,1.49E-12,3.83E-20,2.53E-20,6.65E-08,1.14E-08,0.99990416,5.78E-18,3.60E-20,1.51E-14,9.57E-05,1.49E-12,3.83E-20,2.53E-20,6.65E-08,1.14E-08,0.99990416,5.78E-18,3.60E-20,1.51E-14,9.57E-05,1.49E-12,3.83E-20,2.53E-20,6.65E-08,1.14E-08,0.99990416,5.78E-18,3.60E-20,1.51E-14,9.57E-05,1.49E-12,3.83E-20,2.53E-20,6.65E-08,1.14E-08,0.99990416,5.78E-18,3.60E-20,1.51E-14,9.57E-05,1.49E-12,3.83E-20,2.53E-20,6.65E-08,1.14E-08,0.99990416,5.78E-18,3.60E-20,1.51E-14,9.57E-05,1.49E-12,3.83E-20,2.53E-20,6.65E-08,1.14E-08
28,event_028,2022_06_28,test_028,test_label,input_event_sample028,8.20E-12,4.84E-05,2.61E-10,0.97845733,1.04E-07,3.19E-10,0.021493988,1.84E-14,9.90E-14,2.06E-07,8.20E-12,4.84E-05,2.61E-10,0.97845733,1.04E-07,3.19E-10,0.021493988,1.84E-14,9.90E-14,2.06E-07,8.20E-12,4.84E-05,2.61E-10,0.97845733,1.04E-07,3.19E-10,0.021493988,1.84E-14,9.90E-14,2.06E-07,8.20E-12,4.84E-05,2.61E-10,0.97845733,1.04E-07,3.19E-10,0.021493988,1.84E-14,9.90E-14,2.06E-07,8.20E-12,4.84E-05,2.61E-10,0.97845733,1.04E-07,3.19E-10,0.021493988,1.84E-14,9.90E-14,2.06E-07,8.20E-12,4.84E-05,2.61E-10,0.97845733,1.04E-07,3.19E-10,0.021493988,1.84E-14,9.90E-14,2.06E-07
29,event_029,2022_06_28,test_029,test_label,input_event_sample029,8.43E-24,8.98E-30,5.01E-25,4.07E-21,1,1.55E-24,5.53E-19,6.40E-24,3.52E-13,1.47E-14,8.43E-24,8.98E-30,5.01E-25,4.07E-21,1,1.55E-24,5.53E-19,6.40E-24,3.52E-13,1.47E-14,8.43E-24,8.98E-30,5.01E-25,4.07E-21,1,1.55E-24,5.53E-19,6.40E-24,3.52E-13,1.47E-14,8.43E-24,8.98E-30,5.01E-25,4.07E-21,1,1.55E-24,5.53E-19,6.40E-24,3.52E-13,1.47E-14,8.43E-24,8.98E-30,5.01E-25,4.07E-21,1,1.55E-24,5.53E-19,6.40E-24,3.52E-13,1.47E-14,8.43E-24,8.98E-30,5.01E-25,4.07E-21,1,1.55E-24,5.53E-19,6.40E-24,3.52E-13,1.47E-14
30,event_030,2022_06_28,test_030,test_label,input_event_sample030,0,0,0,0,1,0,0,0,0,1.13E-36,0,0,0,0,1,0,0,0,0,1.13E-36,0,0,0,0,1,0,0,0,0,1.13E-36,0,0,0,0,1,0,0,0,0,1.13E-36,0,0,0,0,1,0,0,0,0,1.13E-36,0,0,0,0,1,0,0,0,0,1.13E-36
